nodeA	nodeB	weight	source	evidence	version
NF1	BRCA2	0.75	STRING_Local	combined_score	v12.0
NF1	SMAD4	0.873	STRING_Local	combined_score	v12.0
NF1	TP53	0.88	STRING_Local	combined_score	v12.0
ROS1	KRAS	0.862	STRING_Local	combined_score	v12.0
ROS1	NRAS	0.736	STRING_Local	combined_score	v12.0
ROS1	PIK3CA	0.735	STRING_Local	combined_score	v12.0
NRAS	BRAF	0.999	STRING_Local	combined_score	v12.0
NRAS	GNAS	0.707	STRING_Local	combined_score	v12.0
NRAS	EGFR	0.991	STRING_Local	combined_score	v12.0
NRAS	CCND1	0.791	STRING_Local	combined_score	v12.0
NRAS	CDKN2A	0.984	STRING_Local	combined_score	v12.0
NRAS	RET	0.868	STRING_Local	combined_score	v12.0
NRAS	MET	0.966	STRING_Local	combined_score	v12.0
NRAS	PIK3CA	0.995	STRING_Local	combined_score	v12.0
NRAS	CDK4	0.822	STRING_Local	combined_score	v12.0
NRAS	ROS1	0.736	STRING_Local	combined_score	v12.0
NRAS	ALK	0.986	STRING_Local	combined_score	v12.0
NRAS	TP53	0.876	STRING_Local	combined_score	v12.0
NRAS	PTPN11	0.952	STRING_Local	combined_score	v12.0
NRAS	IDH2	0.768	STRING_Local	combined_score	v12.0
NRAS	PTEN	0.872	STRING_Local	combined_score	v12.0
NRAS	ERBB2	0.904	STRING_Local	combined_score	v12.0
NRAS	KRAS	0.944	STRING_Local	combined_score	v12.0
NRAS	IDH1	0.777	STRING_Local	combined_score	v12.0
NRAS	HRAS	0.932	STRING_Local	combined_score	v12.0
NRAS	NF1	0.994	STRING_Local	combined_score	v12.0
GNAS	TP53	0.81	STRING_Local	combined_score	v12.0
GNAS	HRAS	0.812	STRING_Local	combined_score	v12.0
GNAS	KRAS	0.792	STRING_Local	combined_score	v12.0
GNAS	NRAS	0.707	STRING_Local	combined_score	v12.0
GNAS	EGFR	0.718	STRING_Local	combined_score	v12.0
GNAS	BRAF	0.761	STRING_Local	combined_score	v12.0
PTEN	MDM2	0.902	STRING_Local	combined_score	v12.0
PTEN	CDKN2A	0.923	STRING_Local	combined_score	v12.0
PTEN	KRAS	0.936	STRING_Local	combined_score	v12.0
PTEN	STK11	0.979	STRING_Local	combined_score	v12.0
PTEN	ERBB2	0.868	STRING_Local	combined_score	v12.0
PTEN	TERT	0.822	STRING_Local	combined_score	v12.0
PTEN	BRAF	0.943	STRING_Local	combined_score	v12.0
PTEN	PTPN11	0.745	STRING_Local	combined_score	v12.0
PTEN	EGFR	0.969	STRING_Local	combined_score	v12.0
